epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.43409,3.37081,4.81418,2.06174,0.00558,0.8375,0.0118,0.00326,2.7174,4.12667,1.624,0.00038,0.00038,0.00038
2,11.4904,2.43963,3.0895,1.5191,0.00583,0.875,0.01341,0.00303,3.00315,3.9043,1.68653,0.000772278,0.000772278,0.000772278
3,16.5196,2.33769,2.60618,1.49223,0.00517,0.775,0.01351,0.00426,2.70932,3.80923,1.74026,0.00115664,0.00115664,0.00115664
4,21.6735,2.29656,2.4957,1.46129,0.00608,0.9125,0.21852,0.04418,2.39269,3.4563,1.51527,0.00153307,0.00153307,0.00153307
5,26.9122,2.26149,2.34592,1.40672,0.33572,0.3,0.24826,0.06551,2.09067,2.80647,1.41368,0.00190159,0.00190159,0.00190159
6,32.0432,2.23664,2.32954,1.40322,0.35936,0.525,0.35933,0.12419,1.9922,2.40839,1.37455,0.001901,0.001901,0.001901
7,37.1794,2.09218,2.17143,1.38402,0.28623,0.5125,0.29688,0.09935,2.105,2.28086,1.43321,0.0018812,0.0018812,0.0018812
8,42.322,2.17645,2.04995,1.35162,0.25113,0.5625,0.23384,0.06686,2.30091,2.27812,1.53888,0.0018614,0.0018614,0.0018614
9,47.5169,2.0915,2.02934,1.32794,0.28102,0.625,0.36168,0.11988,2.09127,2.09091,1.4041,0.0018416,0.0018416,0.0018416
10,52.8541,2.11004,2.02806,1.36411,0.36801,0.6375,0.43052,0.14194,2.07271,1.99617,1.35785,0.0018218,0.0018218,0.0018218
11,58.1724,2.13743,1.91836,1.34954,0.30602,0.49059,0.33454,0.10344,2.08162,2.11269,1.34374,0.001802,0.001802,0.001802
12,63.4678,2.16257,1.90018,1.3709,0.41551,0.5,0.39865,0.11017,2.1382,2.12246,1.35755,0.0017822,0.0017822,0.0017822
13,68.8172,2.11761,1.88764,1.35685,0.3883,0.7,0.44783,0.14359,2.07661,1.95937,1.38265,0.0017624,0.0017624,0.0017624
14,74.207,2.08482,1.8345,1.33602,0.47352,0.5125,0.47772,0.15019,2.09846,1.9922,1.42178,0.0017426,0.0017426,0.0017426
15,79.6084,2.0662,1.78079,1.33913,0.51397,0.5375,0.46536,0.14142,2.10412,1.92113,1.41072,0.0017228,0.0017228,0.0017228
16,84.8827,2.01026,1.74806,1.33508,0.32857,0.54443,0.34387,0.11506,2.03653,1.92173,1.37797,0.001703,0.001703,0.001703
17,90.0764,2.00371,1.69885,1.31816,0.46461,0.54241,0.54639,0.18252,1.94553,1.76283,1.31697,0.0016832,0.0016832,0.0016832
18,95.2282,1.97546,1.6699,1.31904,0.59126,0.5625,0.59597,0.17276,2.11389,1.82929,1.42994,0.0016634,0.0016634,0.0016634
19,100.34,1.98521,1.70539,1.31359,0.53414,0.5125,0.50189,0.16895,2.08777,1.79662,1.44203,0.0016436,0.0016436,0.0016436
20,105.45,1.9588,1.6069,1.32313,0.41379,0.50296,0.47583,0.15136,2.14743,1.80612,1.44885,0.0016238,0.0016238,0.0016238
21,110.545,1.99546,1.59062,1.31485,0.63363,0.5375,0.59159,0.16934,2.04175,1.82779,1.36531,0.001604,0.001604,0.001604
22,115.655,2.03975,1.54849,1.30726,0.53176,0.5,0.46044,0.15691,2.06007,1.85222,1.38628,0.0015842,0.0015842,0.0015842
23,120.778,1.98835,1.58532,1.29976,0.59037,0.6,0.6127,0.187,2.0282,1.70399,1.34662,0.0015644,0.0015644,0.0015644
24,125.932,1.97436,1.54095,1.27692,0.39435,0.5875,0.50941,0.17748,2.00706,1.77353,1.3175,0.0015446,0.0015446,0.0015446
25,131.045,1.97006,1.50477,1.28423,0.53464,0.525,0.53766,0.13585,2.47324,1.69847,1.58772,0.0015248,0.0015248,0.0015248
26,136.233,2.03516,1.43905,1.30586,0.57272,0.58642,0.60762,0.1972,2.07518,1.6177,1.36867,0.001505,0.001505,0.001505
27,141.414,1.96961,1.49604,1.30338,0.52346,0.55,0.53782,0.16748,2.19692,1.68477,1.42444,0.0014852,0.0014852,0.0014852
28,146.522,1.91614,1.42159,1.29421,0.59209,0.5,0.59271,0.18311,2.08736,1.6797,1.39508,0.0014654,0.0014654,0.0014654
29,151.639,1.95844,1.40624,1.30137,0.7524,0.6,0.71084,0.21413,2.23321,1.61023,1.47084,0.0014456,0.0014456,0.0014456
30,156.818,1.91909,1.3847,1.25383,0.54682,0.5375,0.57242,0.18774,2.11569,1.71334,1.38152,0.0014258,0.0014258,0.0014258
31,161.927,1.88739,1.41265,1.26965,0.61007,0.475,0.52183,0.16571,2.23062,1.80276,1.46095,0.001406,0.001406,0.001406
32,167.044,1.8655,1.38677,1.29569,0.53499,0.475,0.51158,0.15836,2.33735,1.60849,1.5298,0.0013862,0.0013862,0.0013862
33,172.16,1.87203,1.39049,1.25091,0.57189,0.625,0.59308,0.18838,2.24976,1.62041,1.48423,0.0013664,0.0013664,0.0013664
34,177.267,1.82213,1.31782,1.22756,0.69727,0.6622,0.65161,0.22407,2.14435,1.58874,1.43041,0.0013466,0.0013466,0.0013466
35,182.443,1.85849,1.37197,1.22113,0.60126,0.6125,0.6129,0.19696,2.1143,1.67331,1.39815,0.0013268,0.0013268,0.0013268
36,187.623,1.88946,1.35853,1.26006,0.61853,0.5125,0.55358,0.16549,2.23008,1.68052,1.45116,0.001307,0.001307,0.001307
37,192.852,1.87243,1.37689,1.22109,0.71526,0.59664,0.61932,0.18922,2.1225,1.62649,1.40965,0.0012872,0.0012872,0.0012872
38,197.936,1.82695,1.33738,1.25863,0.61653,0.50247,0.54355,0.18825,2.13297,1.69725,1.4246,0.0012674,0.0012674,0.0012674
39,203.154,1.81272,1.28779,1.22328,0.66489,0.5375,0.66161,0.21658,2.20072,1.56898,1.46503,0.0012476,0.0012476,0.0012476
40,208.784,1.76897,1.24096,1.21135,0.65405,0.6,0.62853,0.21337,2.17425,1.62106,1.44778,0.0012278,0.0012278,0.0012278
41,214.27,1.807,1.23991,1.20745,0.63697,0.7,0.68197,0.20546,2.07286,1.5611,1.39977,0.001208,0.001208,0.001208
42,219.841,1.81805,1.2454,1.22802,0.6559,0.69099,0.69671,0.21326,2.07182,1.53355,1.42104,0.0011882,0.0011882,0.0011882
43,225.543,1.80692,1.25846,1.21589,0.58103,0.625,0.61131,0.19641,2.06889,1.59554,1.40681,0.0011684,0.0011684,0.0011684
44,231.162,1.79285,1.22946,1.18786,0.60243,0.68191,0.64002,0.202,2.03553,1.55392,1.38791,0.0011486,0.0011486,0.0011486
45,236.29,1.79469,1.19512,1.19966,0.63471,0.6125,0.6189,0.20323,2.09635,1.59094,1.40186,0.0011288,0.0011288,0.0011288
46,241.36,1.7418,1.15932,1.19789,0.69903,0.6125,0.6699,0.22606,2.04509,1.54977,1.3652,0.001109,0.001109,0.001109
47,246.47,1.81165,1.1848,1.2048,0.664,0.71641,0.67771,0.21763,2.08266,1.55397,1.39858,0.0010892,0.0010892,0.0010892
48,251.556,1.77962,1.24839,1.219,0.65487,0.625,0.66433,0.19529,2.09789,1.6202,1.42272,0.0010694,0.0010694,0.0010694
49,256.651,1.7856,1.21141,1.19994,0.66222,0.5875,0.61174,0.20922,2.04714,1.55556,1.4142,0.0010496,0.0010496,0.0010496
50,261.741,1.77031,1.18209,1.20208,0.60511,0.6625,0.65068,0.22688,2.11381,1.50303,1.44277,0.0010298,0.0010298,0.0010298
51,266.856,1.72589,1.19193,1.21808,0.64087,0.525,0.54292,0.1841,2.13522,1.63909,1.45834,0.00101,0.00101,0.00101
52,271.941,1.67009,1.11918,1.14553,0.75587,0.61928,0.71811,0.24904,2.00963,1.49919,1.38495,0.0009902,0.0009902,0.0009902
53,277.055,1.71898,1.12175,1.16962,0.71894,0.675,0.71118,0.23007,2.09857,1.53906,1.44631,0.0009704,0.0009704,0.0009704
54,282.151,1.69262,1.18263,1.19079,0.6833,0.625,0.65483,0.2413,2.03744,1.54425,1.40145,0.0009506,0.0009506,0.0009506
55,287.251,1.69906,1.13907,1.19313,0.61787,0.52549,0.55215,0.19482,2.04217,1.72478,1.40421,0.0009308,0.0009308,0.0009308
56,292.322,1.71277,1.10816,1.16469,0.65402,0.6,0.60026,0.19692,2.0631,1.66594,1.43886,0.000911,0.000911,0.000911
57,297.415,1.70297,1.06241,1.16013,0.69439,0.6375,0.64717,0.20692,2.10536,1.65616,1.46796,0.0008912,0.0008912,0.0008912
