epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.01586,3.00297,5.75505,1.95876,0.06487,0.35,0.04428,0.01072,2.81125,10.3565,1.85604,0.00065,0.00065,0.00065
2,16.9665,2.63776,3.12068,1.78972,0.01322,0.3125,0.00961,0.00243,2.87231,42.1283,1.9616,0.00131635,0.00131635,0.00131635
3,24.9427,2.4269,2.6093,1.65137,0.00667,1,0.03115,0.01137,2.61001,12.2448,1.75118,0.0019814,0.0019814,0.0019814
4,33.0099,2.56036,2.99922,1.65065,0.12553,0.45,0.14355,0.04749,2.59763,29.6424,1.81426,0.00199561,0.00199561,0.00199561
5,41.1915,2.61943,2.46694,1.78104,0.14542,0.475,0.1344,0.0473,2.42685,3.48556,1.82324,0.00199219,0.00199219,0.00199219
6,49.1652,2.34048,2.04707,1.62862,0.06887,0.325,0.056,0.01982,2.28982,5.21552,1.60514,0.00198781,0.00198781,0.00198781
7,57.1606,2.41632,1.89406,1.61368,0.1978,0.5125,0.26727,0.09362,2.2594,3.12264,1.65389,0.00198246,0.00198246,0.00198246
8,65.2579,2.39282,1.95544,1.63716,0.37398,0.5875,0.39363,0.12509,2.28616,3.4995,1.59708,0.00197616,0.00197616,0.00197616
9,73.3789,2.39177,1.93968,1.56783,0.19502,0.425,0.20523,0.06461,2.2801,2.82688,1.57378,0.0019689,0.0019689,0.0019689
10,81.3782,2.31253,1.85726,1.58817,0.20526,0.3125,0.19359,0.0658,2.49426,2.20045,1.68513,0.00196069,0.00196069,0.00196069
11,89.3669,2.30873,1.78621,1.58424,0.25369,0.4125,0.23103,0.08542,2.36006,2.07232,1.64638,0.00195155,0.00195155,0.00195155
12,97.3719,2.2803,1.68281,1.54454,0.38153,0.475,0.36428,0.12572,2.27548,1.82399,1.57438,0.00194147,0.00194147,0.00194147
13,105.519,2.15264,1.69717,1.5179,0.39956,0.5125,0.39354,0.12932,2.17473,1.95871,1.52852,0.00193048,0.00193048,0.00193048
14,113.627,2.11207,1.5795,1.47544,0.58342,0.4902,0.47039,0.13836,2.23945,1.89872,1.5435,0.00191858,0.00191858,0.00191858
15,121.735,2.16674,1.57384,1.49833,0.40492,0.5875,0.42355,0.15281,2.06427,1.68368,1.47049,0.00190578,0.00190578,0.00190578
16,129.838,2.07074,1.6452,1.476,0.48753,0.33302,0.34032,0.11445,2.23879,1.88496,1.57158,0.0018921,0.0018921,0.0018921
17,137.877,2.15058,1.6051,1.4782,0.37463,0.375,0.39351,0.12676,2.27134,1.81282,1.58344,0.00187754,0.00187754,0.00187754
